user-input,desired output
Do we have a PE that will decimate seismic data after converting the dictionary back to a stream?,PE_MATCH: seismic_preparation_dict_workflow.Decimate
Give me a Processing Element for something that can fetch VO catalogue data in the skewed internal-extinction run.,PE_MATCH: internal_extinction_skew_workflow.GetVOTable
Show me a processing element that can apply whitening after converting dict data to ObsPy stream.,PE_MATCH: seismic_preparation_dict_workflow.Whiten
Need a PE which can apply the demean detrend step.,PE_MATCH: seismic_preparation_workflow.Demean
Could you find the PE that can demean dictionary-serialised seismic stream data?,PE_MATCH: seismic_preparation_dict_workflow.Demean
Could you find the PE that can store the final results from the dict seismic workflow?,PE_MATCH: seismic_preparation_dict_workflow.StreamToFile
I am looking for a PE to test integers for primality and pass primes forward.,PE_MATCH: skew_workflow.IsPrime
"I want the wflow that can pull COVID-19 India data, process daily cases, and produce a graph.",WORKFLOW_MATCH: covid_workflow
Can you give me a workflow for make a calendar invite from a text note?,NO_MATCH_WORKFLOW
I want a PE that can collect odd and even lists and emit pairs.,PE_MATCH: even_odd_workflow.PairProducer
I would like the PE that filter VOTable columns before extinction calculation.,PE_MATCH: internal_extinction_workflow.FilterColumns
Need a PE which can check whether each random number is prime.,PE_MATCH: skew_workflow.IsPrime
I want a PE that can remove a simple trend from waveform traces.,MULTI_PE_MATCH: seismic_preparation_workflow.Detrend | seismic_preparation_dict_workflow.Detrend
I want a PE that can make delayed Vizier requests for galaxy coordinates.,PE_MATCH: internal_extinction_skew_workflow.GetVOTable
I would like the PE that reduce the sampling rate in a seismic stream.,MULTI_PE_MATCH: seismic_preparation_workflow.Decimate | seismic_preparation_dict_workflow.Decimate
Can you point me to a processing element for turn raw COVID records into date and new-case values?,PE_MATCH: covid_workflow.DataProcessor
I want the PE that can translate a sentence from French to English.,NO_MATCH_PE
I need a Processing Element to collect COVID dates and case counts and draw the line plot.,PE_MATCH: covid_workflow.DataVisualizer
Could you find the PE that can hash a password?,NO_MATCH_PE
Show me a processing element that can pull mtype and logr25 from the catalogue result.,PE_MATCH: internal_extinction_workflow.FilterColumns
I would like a workflow that analyse a simple time series dataset.,MULTI_WORKFLOW_MATCH: sensor_workflow | covid_workflow
"Find me a Processing Element for load station waveform files and emit dict-form stream data, please.",PE_MATCH: seismic_preparation_dict_workflow.StreamRead
I want the PE that can flag anomalies in normalized temperature data.,PE_MATCH: sensor_workflow.AnomalyDetectionPE
Could you find the PE that can detect abnormal sensor temperature readings?,PE_MATCH: sensor_workflow.AnomalyDetectionPE
Do we have a PE that will write the final seismic output per station?,MULTI_PE_MATCH: seismic_preparation_workflow.StreamToFile | seismic_preparation_dict_workflow.StreamToFile
Show me a processing element that can separate odd or even numbers depending on the configured comparison.,PE_MATCH: even_odd_workflow.Divideby2
Could you find the PE that can remove the mean from seismic traces?,PE_MATCH: seismic_preparation_workflow.Demean
Need a workflow which can process astronomical galaxy coordinates and calculate internal extinction.,WORKFLOW_MATCH: internal_extinction_workflow
Which PE should I use to read galaxy coordinates for the skewed internal extinction workflow?,PE_MATCH: internal_extinction_skew_workflow.ReadRaDec
Give me the PE for validate XML against a schema.,NO_MATCH_PE
I want a PE that can apply a normalization step.,MULTI_PE_MATCH: sensor_workflow.NormalizeDataPE | seismic_preparation_workflow.CalculateNorm | seismic_preparation_dict_workflow.CalculateNorm
Which PE should I use to filter numbers by checking the remainder after division by 2?,PE_MATCH: even_odd_workflow.Divideby2
Do we have a PE that will read station names and load the matching seismic stream files?,PE_MATCH: seismic_preparation_workflow.StreamRead
Give me the PE for detrend dict-serialised seismic stream data.,PE_MATCH: seismic_preparation_dict_workflow.Detrend
Could you find the PE that can apply a whitening step to waveform traces?,MULTI_PE_MATCH: seismic_preparation_workflow.Whiten | seismic_preparation_dict_workflow.Whiten
I need a Processing Element to parse a PDF into paragraphs.,NO_MATCH_PE
I want a PE that can bandpass filter dictionary-serialised seismic data.,PE_MATCH: seismic_preparation_dict_workflow.Filter
I want the PE that can read coordinate input lines and add a search radius.,PE_MATCH: internal_extinction_workflow.ReadRaDec
I want a PE that can reduce the sampling rate in a seismic stream.,MULTI_PE_MATCH: seismic_preparation_workflow.Decimate | seismic_preparation_dict_workflow.Decimate
Need a PE which can filter data as part of a pipeline.,MULTI_PE_MATCH: internal_extinction_workflow.FilterColumns | internal_extinction_skew_workflow.FilterColumns | seismic_preparation_workflow.Filter | seismic_preparation_dict_workflow.Filter
Do we have a PE that will turn Celsius-ish temperatures into normalized values?,PE_MATCH: sensor_workflow.NormalizeDataPE
I am looking for a PE to run the spectral whitening step.,PE_MATCH: seismic_preparation_workflow.Whiten
Do we have a PE that will log anomaly messages with timestamp and temperature?,PE_MATCH: sensor_workflow.AlertingPE
Which PE should I use to calculate the FFT of seismic waveform data?,PE_MATCH: seismic_preparation_workflow.CalculateFft
I am looking for a PE to detrend dict-serialised seismic stream data.,PE_MATCH: seismic_preparation_dict_workflow.Detrend
I want a workflow that can query catalogue data and calculate dust extinction in galaxies.,MULTI_WORKFLOW_MATCH: internal_extinction_workflow | internal_extinction_skew_workflow
I am looking for a PE to save the prepared seismic stream to output files.,PE_MATCH: seismic_preparation_workflow.StreamToFile
I would like the PE that separate odd or even numbers depending on the configured comparison.,PE_MATCH: even_odd_workflow.Divideby2
Give me a Processing Element for something that can compute the Fourier transform for station streams.,PE_MATCH: seismic_preparation_workflow.CalculateFft
I would like the PE that report anomalous sensor readings.,PE_MATCH: sensor_workflow.AlertingPE
Can you point me to a processing element for calculate PageRank on a graph?,NO_MATCH_PE
Could you find the PE that can scale the sensor temperature readings?,PE_MATCH: sensor_workflow.NormalizeDataPE
Could you find a workflow that translate Spanish text into English?,NO_MATCH_WORKFLOW
Give me the workflow for something that can run a prime-number example where the work arrives with skewed sleep times.,WORKFLOW_MATCH: skew_workflow
Show me the workflow that exercise a workflow where some steps take uneven time.,MULTI_WORKFLOW_MATCH: skew_workflow | internal_extinction_skew_workflow
Can you give me a workflow for process seismic waveform data through a serialisable dictionary version of the preparation pipeline?,WORKFLOW_MATCH: seismic_preparation_dict_workflow
Is there a workflow in you that can run the internal extinction galaxy workflow but with a skewed workload in the VO query step?,WORKFLOW_MATCH: internal_extinction_skew_workflow
Do we have a PE that will remove background noise from audio?,NO_MATCH_PE
Give me a Processing Element for something that can remove instrument response in the dict-based seismic workflow.,PE_MATCH: seismic_preparation_dict_workflow.RemoveResponse
Show me the workflow that do the seismic preparation pipeline where ObsPy streams are converted to dictionaries between PEs.,WORKFLOW_MATCH: seismic_preparation_dict_workflow
Do we have a PE that will calculate the FFT of seismic waveform data?,PE_MATCH: seismic_preparation_workflow.CalculateFft
"Need a workflow which can read RA/Dec points, call the Virtual Observatory, and compute galaxy extinction.",WORKFLOW_MATCH: internal_extinction_workflow
I want a PE that can apply whitening after converting dict data to ObsPy stream.,PE_MATCH: seismic_preparation_dict_workflow.Whiten
Could you find the PE that can read coordinate input lines and add a search radius?,PE_MATCH: internal_extinction_workflow.ReadRaDec
Need a PE which can turn seismic traces into frequency-domain data.,MULTI_PE_MATCH: seismic_preparation_workflow.CalculateFft | seismic_preparation_dict_workflow.CalculateFft
I am looking for a PE to remove the mean from seismic traces.,PE_MATCH: seismic_preparation_workflow.Demean
Which PE should I use to convert dict to stream and subtract the mean?,PE_MATCH: seismic_preparation_dict_workflow.Demean
I need a workflow to test a workflow with skewed or uneven work across the pipeline.,MULTI_WORKFLOW_MATCH: skew_workflow | internal_extinction_skew_workflow
Can you point me to a processing element for run the seismic filter step?,PE_MATCH: seismic_preparation_workflow.Filter
Need a PE which can filter traces between frequency limits.,PE_MATCH: seismic_preparation_workflow.Filter
I want a PE that can turn filtered catalogue values into extinction estimates.,PE_MATCH: internal_extinction_workflow.InternalExtinction
Give me a Processing Element for something that can make random values with a beta-distributed pause.,PE_MATCH: skew_workflow.NumberProducer
Is there a Processing Element in the registry to make the HTTP request for astronomical catalogue data?,PE_MATCH: internal_extinction_workflow.GetVOTable
Need a workflow which can fetch COVID case data from an online API and make a plot of daily new cases.,WORKFLOW_MATCH: covid_workflow
Do we have a PE that will print an alert when a sensor anomaly is detected?,PE_MATCH: sensor_workflow.AlertingPE
I need a workflow to make a calendar invite from a text note.,NO_MATCH_WORKFLOW
Could you find a workflow that monitor GPU temperature and send an email?,NO_MATCH_WORKFLOW
Show me a processing element that can calculate galaxy internal extinction.,MULTI_PE_MATCH: internal_extinction_workflow.InternalExtinction | internal_extinction_skew_workflow.InternalExtinction
Is there a workflow in you that can exercise a workflow where some steps take uneven time?,MULTI_WORKFLOW_MATCH: skew_workflow | internal_extinction_skew_workflow
Can you point me to a processing element for turn prepared traces into frequency-domain data?,PE_MATCH: seismic_preparation_workflow.CalculateFft
Show me a processing element that can downsample dict-serialised waveform traces.,PE_MATCH: seismic_preparation_dict_workflow.Decimate
Give me the PE for ingest the sensor JSON file.,PE_MATCH: sensor_workflow.ReadSensorDataPE
Could you find the PE that can produce seismic stream records from the INPUT directory?,MULTI_PE_MATCH: seismic_preparation_workflow.StreamRead | seismic_preparation_dict_workflow.StreamRead
Show me the workflow that query catalogue data and calculate dust extinction in galaxies.,MULTI_WORKFLOW_MATCH: internal_extinction_workflow | internal_extinction_skew_workflow
Give me a Processing Element for something that can generate random integers with a skewed sleep delay.,PE_MATCH: skew_workflow.NumberProducer
Need a workflow which can run the seismic preparation pipeline.,MULTI_WORKFLOW_MATCH: seismic_preparation_workflow | seismic_preparation_dict_workflow
I want a PE that can combine the two branches into odd-even pairs.,PE_MATCH: even_odd_workflow.PairProducer
I am looking for a workflow to run the internal-extinction workflow variant where the query PE has skewed delays.,WORKFLOW_MATCH: internal_extinction_skew_workflow
I need a Processing Element to summarise sensor data in small batches.,PE_MATCH: sensor_workflow.AggregateDataPE
I would like the PE that generate random integers between 1 and 1000.,PE_MATCH: even_odd_workflow.NumberProducer
I need a workflow to use the skew variant of the galaxy extinction pipeline.,WORKFLOW_MATCH: internal_extinction_skew_workflow
"I want a PE for filtering, could be catalogue columns or seismic bandpass, just show the matching PEs.",MULTI_PE_MATCH: internal_extinction_workflow.FilterColumns | internal_extinction_skew_workflow.FilterColumns | seismic_preparation_workflow.Filter | seismic_preparation_dict_workflow.Filter
"Could you find the PE that can call Vizier with RA, DEC and search radius?",PE_MATCH: internal_extinction_workflow.GetVOTable
I want a PE that can save the prepared seismic stream to output files.,PE_MATCH: seismic_preparation_workflow.StreamToFile
I want a PE that can convert list FFT data back and write the output.,PE_MATCH: seismic_preparation_dict_workflow.StreamToFile
Can you point me to a processing element for produce seismic stream records from the INPUT directory?,MULTI_PE_MATCH: seismic_preparation_workflow.StreamRead | seismic_preparation_dict_workflow.StreamRead
Can you give me a workflow for run SQL joins across two relational databases?,NO_MATCH_WORKFLOW
Do we have a PE that will load sensor_data_1000.json and emit each reading?,PE_MATCH: sensor_workflow.ReadSensorDataPE
Give me a Processing Element for something that can produce random numbers.,MULTI_PE_MATCH: skew_workflow.NumberProducer | even_odd_workflow.NumberProducer
Could you find the PE that can produce sensor records with timestamp and temperature?,PE_MATCH: sensor_workflow.ReadSensorDataPE
"Find me a Processing Element for store seismic preparation results per station, please.",PE_MATCH: seismic_preparation_workflow.StreamToFile
"Find me a Processing Element for produce dictionary representations of ObsPy streams, please.",PE_MATCH: seismic_preparation_dict_workflow.StreamRead
Do we have a PE that will parse catalogue columns for the skewed galaxy pipeline?,PE_MATCH: internal_extinction_skew_workflow.FilterColumns
Give me a Processing Element for something that can calculate internal extinction in the skewed galaxy workflow.,PE_MATCH: internal_extinction_skew_workflow.InternalExtinction
Is there a Processing Element in the registry to upload a file to OneDrive?,NO_MATCH_PE
Give me a workflow for use the dict variant of the seismic preprocessing workflow.,WORKFLOW_MATCH: seismic_preparation_dict_workflow
Give me the PE for plot COVID daily new cases and save the image.,PE_MATCH: covid_workflow.DataVisualizer
I need a Processing Element to filter VOTable columns before extinction calculation.,PE_MATCH: internal_extinction_workflow.FilterColumns
Show me a processing element that can remove the seismometer response.,PE_MATCH: seismic_preparation_workflow.RemoveResponse
Give me a workflow for run a chatbot over legal contracts.,NO_MATCH_WORKFLOW
Need a PE which can query VOTables with an artificial skewed delay.,PE_MATCH: internal_extinction_skew_workflow.GetVOTable
"Find me a workflow for process sensor or signal data through several preparation steps, please.",MULTI_WORKFLOW_MATCH: sensor_workflow | seismic_preparation_workflow | seismic_preparation_dict_workflow
Could you find the PE that can decide whether a sensor record is anomalous?,PE_MATCH: sensor_workflow.AnomalyDetectionPE
Give me the PE for generate an HTML report.,NO_MATCH_PE
Need a PE which can convert dict to stream and subtract the mean.,PE_MATCH: seismic_preparation_dict_workflow.Demean
Can you point me to a processing element for apply the galaxy extinction formula in the skew variant?,PE_MATCH: internal_extinction_skew_workflow.InternalExtinction
Which PE should I use to subtract the mean from a seismic stream?,PE_MATCH: seismic_preparation_workflow.Demean
Do we have a PE that will make random values with a beta-distributed pause?,PE_MATCH: skew_workflow.NumberProducer
I want the PE that can do bandpass filtering on the seismic stream.,PE_MATCH: seismic_preparation_workflow.Filter
"Do we have a workflow that will read galaxy coordinates, query VOTables, filter morphology columns, and calculate internal extinction?",WORKFLOW_MATCH: internal_extinction_workflow
Need a workflow which can render a 3D mesh from point clouds.,NO_MATCH_WORKFLOW
Need a PE which can consume primes and log them.,PE_MATCH: skew_workflow.PrintPrime
I would like the PE that remove the mean from waveform traces.,MULTI_PE_MATCH: seismic_preparation_workflow.Demean | seismic_preparation_dict_workflow.Demean
Need a PE which can collect odd and even lists and emit pairs.,PE_MATCH: even_odd_workflow.PairProducer
Is there a Processing Element in the registry to turn dict-based waveform data into list-form FFT output?,PE_MATCH: seismic_preparation_dict_workflow.CalculateFft
Which PE should I use to decimate seismic stream data to a lower samples-per-second rate?,PE_MATCH: seismic_preparation_workflow.Decimate
I would like a workflow that process sensor or signal data through several preparation steps.,MULTI_WORKFLOW_MATCH: sensor_workflow | seismic_preparation_workflow | seismic_preparation_dict_workflow
Do we have a PE that will emit a stream of random integer values?,MULTI_PE_MATCH: skew_workflow.NumberProducer | even_odd_workflow.NumberProducer
I need a Processing Element to turn dict-based waveform data into list-form FFT output.,PE_MATCH: seismic_preparation_dict_workflow.CalculateFft
I want a workflow that can use the dict variant of the seismic preprocessing workflow.,WORKFLOW_MATCH: seismic_preparation_dict_workflow
I want a PE that can correct dict-serialised seismic data using inventory XML.,PE_MATCH: seismic_preparation_dict_workflow.RemoveResponse
"Could you find a workflow that read sensor JSON data, normalise temperatures, detect anomalies, raise alerts, and aggregate readings?",WORKFLOW_MATCH: sensor_workflow
Give me a Processing Element for something that can show the numbers that passed the prime check.,PE_MATCH: skew_workflow.PrintPrime
Need a PE which can apply envelope normalization after stream/dict conversion.,PE_MATCH: seismic_preparation_dict_workflow.CalculateNorm
Give me the PE for save dict-based seismic preparation output to files.,PE_MATCH: seismic_preparation_dict_workflow.StreamToFile
"Find me a Processing Element for compress JSON into gzip, please.",NO_MATCH_PE
Which PE should I use to produce ObsPy stream data for station/network rows?,PE_MATCH: seismic_preparation_workflow.StreamRead
Show me a processing element that can run seismic filtering in the dict pipeline.,PE_MATCH: seismic_preparation_dict_workflow.Filter
